HSD_ID,Platform,Owner,RootCause,EvidenceScore,ValidationScore,ConsensusScore,GoldenScore,SuggestedTier,Confidence,Blockers,Recommendation
13011141642,SRF,jessielu,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
13011141646,SRF,jessielu,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
13011884694,SRF,avalcara,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
13013365493,UNKNOWN,shashish,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
13013365497,UNKNOWN,hkuzhicx,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
13013367911,UNKNOWN,shashish,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
13014085149,UNKNOWN,ryakkati,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14018115093,GNR,aschofie,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14018231367,GNR,diegog3,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14018627016,GNR,yeyun,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14019226746,SRF,rubenher,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14019463740,UNKNOWN,diegog3,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14019480071,UNKNOWN,rsg,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14019682645,GNR,oxavelar,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14022039307,UNKNOWN,vimarti,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14023430059,CWF,vseethar,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14023750934,CWF,gmuppala,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14023779609,CWF,gmuppala,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14023960264,CWF,gmuppala,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14024432197,UNKNOWN,grp_phoenix_admin,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14024625060,SRF,pvthomas,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
14024889393,UNKNOWN,jambrizm,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14024938608,UNKNOWN,psyamsux,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025015656,UNKNOWN,anjaliya,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025434523,UNKNOWN,anjaliya,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025434527,UNKNOWN,rbalaji,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14025434528,UNKNOWN,anjaliya,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027098533,UNKNOWN,rbalaji,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027184382,UNKNOWN,rbalaji,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027184398,UNKNOWN,rbalaji,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027187022,UNKNOWN,rbalaji,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
14027187037,UNKNOWN,rbalaji,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
15017291534,GNR,panlijun,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
15017291873,GNR,xzhan26,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
15017297035,GNR,jinwang4,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
15017320024,GNR,jinwang4,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
15017328835,GNR,jinwang4,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT,REVIEW
22019684757,UNKNOWN,jquianzo,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
22019741379,UNKNOWN,vimarti,,50,0,100,50,BRONZE,50,OWNER_DISAGREEMENT;PLATFORM_UNRESOLVED,REVIEW
15017319975,GNR,jinwang4,,40,0,80,36,BRONZE,36,OWNER_DISAGREEMENT,REVIEW
14023010765,GNR,srkeesar,,15,0,15,20,BRONZE,20,,RANK_ONLY
13010785698,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010785700,GNR,dtoralva,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010785701,GNR,dtoralva,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010785702,GNR,dtoralva,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010788085,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010788087,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010788089,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010788090,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010788091,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13010788093,GNR,jadelaoy,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141637,SRF,jessielu,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141638,SRF,linmatt2,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141639,SRF,linmatt2,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141640,SRF,linmatt2,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141641,SRF,linmatt2,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141643,SRF,ptonongi,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141645,SRF,ptonongi,,10,0,0,10,BRONZE,10,,RANK_ONLY
13011141647,SRF,jessielu,,10,0,0,10,BRONZE,10,,RANK_ONLY
13013925864,GNR,gm,,10,0,0,10,BRONZE,10,,RANK_ONLY
14018914786,GNR,kvannam,,10,0,0,10,BRONZE,10,,RANK_ONLY
14019749216,SRF,kjgalanc,,10,0,0,10,BRONZE,10,,RANK_ONLY
14023830786,CWF,gmuppala,,10,0,0,10,BRONZE,10,,RANK_ONLY
14023831173,CWF,vhosaman,,10,0,0,10,BRONZE,10,,RANK_ONLY
14024711200,GNR,jmmorto,,10,0,0,10,BRONZE,10,,RANK_ONLY
14023830004,CWF,,,0,0,0,0,BRONZE,0,,RANK_ONLY
