"id","bucket","bugeco_linked","bugeco_ids","sighting_hw_bug","hw_bug_sighting_id","sighting_component","sighting_defect_history","all_sighting_conclusions","priority","status","status_reason","codename","title","hsd_link"
"14026464067","A_bugeco_linked","yes","13014355605","yes","14026515562","hw.big_core","new","14026515562=hw.bug","p2-high","complete","complete.product_changed","DMR","[DMR][BugNinja] System hang with 3Strike while running hammer-unified and C6 (MonitorMWait=0x1)","https://hsdes.intel.com/appstore/article/#/14026464067"
"22010039282","A_bugeco_linked","yes","1306993191","yes","1707081011","hw.big_core","new","1707081011=hw.bug","p2-high","complete","complete","ICX","[ICX][Whitley][Cluster Power On][Sandstone] spinlock (all) tests failures","https://hsdes.intel.com/appstore/article/#/22010039282"
"14015032086","A_bugeco_linked","yes","1308560873;1309522432;1309345419","no","","","","14015037382=fw.bug","p2-high","complete","complete.product_changed","SPR","[SPR][RAS][Cluster] AMX tileloadd x Poison tests cause CPU shutdowns","https://hsdes.intel.com/appstore/article/#/14015032086"
"14013789944","B_product_change_no_bugeco","no","","yes","22012599236","hw.big_core","new","22012599236=hw.bug","p2-high","complete","complete.product_changed","SPR","[EGS][SPR B0,D0][Cluster][Lemongrass] Core 3-strike running sandstone-chaos","https://hsdes.intel.com/appstore/article/#/14013789944"
"14014613214","B_product_change_no_bugeco","no","","yes","14014927973","hw.cha","new","14014927973=hw.bug","p2-high","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0] MCA_LLC_BIST_ACTIVE_TIMEOUT cold-reset + memory margin/reset","https://hsdes.intel.com/appstore/article/#/14014613214"
"14015143476","B_product_change_no_bugeco","no","","yes","22013879933","hw.mdf","new","22013879933=hw.bug","p2-high","complete","complete.product_changed","SPR","[Cluster GDC][EGS SPR D0] MDF Parity Error seen during IDLE/ive-povray with ucode 0x2c0","https://hsdes.intel.com/appstore/article/#/14015143476"
"14015196045","B_product_change_no_bugeco","no","","yes","14015213437","hw.ras","new","14015213437=hw.bug","p1-showstopper","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0] UBOX POISON error while running Sandstone within TDX Guest with WW35 MVP stack","https://hsdes.intel.com/appstore/article/#/14015196045"
"14015263050","B_product_change_no_bugeco","no","","yes","14015712651","hw.dsa","known","14015712651=hw.bug","p2-high","complete","complete.product_changed","SPR","[EGS SPR-D0][Cluster][RPP] DINO/HCA TOR TO while running Sandstone/Povray + Cold cycle","https://hsdes.intel.com/appstore/article/#/14015263050"
"14015800984","B_product_change_no_bugeco","no","","yes","14015834143","hw.upi","new","14015834143=hw.bug","p2-high","complete","complete.product_changed","SPR","[Cluster][GDC SPR D0-E0] UPI Bank5 Unmerged UPI UC LL Rx Parameter Exception Socket_1 during burnin/Cold_Reset","https://hsdes.intel.com/appstore/article/#/14015800984"
"14016376372","B_product_change_no_bugeco","no","","yes","14016404363","hw.upi","known","14016404363=hw.bug","p4-low","complete","complete.product_changed","SPR","[EGS SPR-E0][Cluster][RPP] UPI CRC Errors UPI LL Rx detected CRC error successful LLR without Phy Reinit during sandstone stress","https://hsdes.intel.com/appstore/article/#/14016376372"
"14016417265","B_product_change_no_bugeco","no","","yes","14016425646","hw.memory","new","14016425646=hw.bug","p1-showstopper","complete","complete.product_changed","SPR","[Cluster][SPR E3][Wave2] TME_CMI_UFL_ERR while running Sandstone-Warm/IMunch","https://hsdes.intel.com/appstore/article/#/14016417265"
"14019137156","B_product_change_no_bugeco","no","","yes","15013397254","hw.small_core","new","14019171192=no_root_cause.rejected; 15013397254=hw.bug","p2-high","complete","complete.product_changed","SRF","[SRF A0 PO][RAS][VIS-1] Exercising Sandstone with poison error injection resulting in ROB timeout on few CMT modules","https://hsdes.intel.com/appstore/article/#/14019137156"
"14020056414","B_product_change_no_bugeco","no","","yes","14020121468","hw.security","known","14020121468=hw.bug","p2-high","complete","complete.product_changed","GNR","[Cluster][FLEX GNR-AP_X1_X3][Master] Memory Errors RETRY_RD_ERR_LOG_MCDDC_DP_REG class SRAR/DCU during sandstone-rf-warm","https://hsdes.intel.com/appstore/article/#/14020056414"
"14026093607","B_product_change_no_bugeco","no","","yes","14026147117","hw.dsa","known","14026147117=hw.bug","p2-high","complete","complete.product_changed","DMR","[DMR][BugNinja] dsa_fill sandstone subtest is detecting incorrect data pattern (relaxed ordering = 1)","https://hsdes.intel.com/appstore/article/#/14026093607"
"15016126803","B_product_change_no_bugeco","no","","yes","14022573510","hw.small_core","new","14022573510=hw.bug","p2-high","complete","complete.product_changed","SRF","[BHS SRF-SP][QS][CoVal][DELL][HS7][HSIO] Observe MCERR in GPU pytorch + Xprod_Home_Grown_XORCYST concurrency workload","https://hsdes.intel.com/appstore/article/#/15016126803"
"16022337351","B_product_change_no_bugeco","no","","yes","16022474859","hw.small_core","new","16022474859=hw.bug","p2-high","complete","complete.product_changed","SRF","[Cluster][FLEX SRF A0/B0/C0][Master] Node hang MCA from BUS ERROR (mcacod:0x4 FRC Error) during sandstone-chaos (lockstep)","https://hsdes.intel.com/appstore/article/#/16022337351"
